customer_id,customer_name,reg_date
C1,Anvi Konda,2022-12-12
C2,Harsh Chahal,2023-11-25
C3,Ayushman Chander,2025-08-03
C4,Yashasvi Bala,2023-11-11
C5,Oni Kannan,2026-10-10
C6,Abeer Dutta,2025-10-27
C7,Arunima Dugal,2025-08-06
C8,Harsh Chanda,2023-10-31
C9,Jagrati Padmanabhan,2025-03-26
C10,Tripti Yadav,2024-04-01
C11,Farhan Memon,2023-01-23
C12,Ekaraj Bath,2025-01-28
C13,Fariq Kaul,2023-12-10
C14,Arunima Setty,2022-11-10
C15,Kamala Pant,2025-02-07
C16,Ekbal Garg,2023-10-13
C17,Nihal Shere,2026-07-18
C18,Theodore Nair,2025-03-24
C19,Azad Mutti,2022-06-23
C20,Dominic Kakar,2025-05-31
C21,Simon Tata,2026-10-29
C22,Luke Lanka,2025-05-14
C23,Adya Sangha,2023-03-10
C24,Janaki Kanda,2026-12-18
C25,Gavin Batta,2023-03-06
C26,Nathaniel Sami,2022-12-07
C27,Lakshmi Sidhu,2022-07-17
C28,Advay Contractor,2026-07-02
C29,Harini Choudhury,2026-07-27
C30,Nakul Setty,2024-06-30
C31,Xiti Gokhale,2022-01-11
C32,Chanchal Tripathi,2026-04-27
C33,Kashvi Edwin,2023-09-10
C34,Ekiya Suresh,2026-08-03
C35,Janani Mohanty,2022-03-02
C36,Wridesh Brar,2024-01-14
C37,Ekapad Walia,2022-09-24
C38,Vaishnavi Gandhi,2023-01-26
C39,Siddharth Zacharia,2024-04-03
C40,Mohini Prakash,2023-09-17
C41,Jai Kota,2025-09-23
C42,Hamsini Bail,2023-11-30
C43,Thomas Amble,2026-09-17
C44,Veer Bir,2022-08-09
C45,Ekavir Varkey,2022-04-08
C46,Vedika Kala,2024-01-10
C47,Urvashi Kibe,2026-08-03
C48,Ranveer Chandra,2026-01-09
C49,Irya Sampath,2022-10-29
C50,Chatura Chaudhari,2025-07-01
C51,Harinakshi Chopra,2022-07-08
C52,Ranveer Yadav,2024-02-12
C53,Pahal Goswami,2025-10-25
C54,Zaid Borra,2024-05-15
C55,Chandresh Zachariah,2025-10-08
C56,Warjas Ganesan,2022-02-15
C57,Vasana Kala,2025-06-16
C58,Nitesh Raghavan,2025-05-30
C59,Alka Sha,2022-01-07
C60,Vidhi Dubey,2024-06-05
C61,Teerth Bhardwaj,2023-08-13
C62,Dipta Bhandari,2026-12-05
C63,Yadavi Wali,2022-06-05
C64,Yashoda Buch,2023-05-05
C65,Ekansh Keer,2023-08-01
